wife_ten_y | Coefficient std t p_stat lower_95 upper_95q50          |
   hub_ten_y |   .3591039   .0085793    41.86   0.000     .3422885    .3759193
  hub_ten_y2 |  -.0112475   .0005291   -21.26   0.000    -.0122844   -.0102106
   part_time |  -.9333763   .0591801   -15.77   0.000     -1.04937   -.8173832
     college |   1.058052   .0592375    17.86   0.000     .9419461    1.174157
     less_hs |   -1.24769   .1091295   -11.43   0.000    -1.461584   -1.033796
     hub_age |  -.0287698   .0055146    -5.22   0.000    -.0395783   -.0179612
      hub_se |   .1454713   .0948492     1.53   0.125    -.0404333    .3313758
 hub_college |   .2567476    .071527     3.59   0.000     .1165546    .3969407
 hub_less_hs |  -.6576135    .094249    -6.98   0.000    -.8423416   -.4728854
             |
          yd |
       2006  |  -.0072888   .1138545    -0.06   0.949    -.2304437    .2158661
       2007  |  -.0288794   .1013314    -0.28   0.776    -.2274891    .1697303
       2008  |   .0415635   .1344074     0.31   0.757    -.2218752    .3050023
       2009  |   .3791853   .1203723     3.15   0.002     .1432554    .6151153
       2010  |   .2446488   .0885322     2.76   0.006     .0711255    .4181721
       2011  |   .8446919   .1163848     7.26   0.000     .6165776    1.072806
       2012  |   1.067415   .0965026    11.06   0.000     .8782693     1.25656
       2013  |   1.513933   .1487201    10.18   0.000     1.222442    1.805425
       2014  |   1.791255   .1251562    14.31   0.000     1.545949    2.036562
       2015  |   1.978563   .1856802    10.66   0.000      1.61463    2.342497
       2016  |   1.824938   .1590138    11.48   0.000      1.51327    2.136605
       2017  |   1.467441   .1721628     8.52   0.000     1.130002    1.804881
       2018  |   .9529636   .2092294     4.55   0.000     .5428738    1.363053
       2019  |   .3195712   .1811326     1.76   0.078     -.035449    .6745915
       2020  |   .2435699   .1786954     1.36   0.173    -.1066733    .5938131
       2021  |  -.1189151   .1337488    -0.89   0.374    -.3810628    .1432327
       2022  |  -.5886844   .1406465    -4.19   0.000    -.8643519    -.313017
             |
       _cons |   3.416741   .2182479    15.66   0.000     2.988974    3.844507
